id,pubchemcid,name,created_at,updated_at,mesh,pubchemsid
237,79437,"1,3,7-trimethyluric acid",2021-05-05 11:14:39,2021-06-02 09:17:21,C039222,385448870
238,361512,"1,3,8-trihydroxy-6-hydroxymethylanthraquinone",2021-05-05 11:14:39,2021-06-02 09:17:24,C053854,336286891
239,10109823,"1,3-benzothiazol-2-yl(2-((2-(3-pyridinyl)ethyl)amino)-4-pyrimidinyl)acetonitrile",2021-05-05 11:14:39,2021-06-02 09:17:27,C489138,53790218
240,24766011,"1-((3-benzyl-3-methyl-2,3-dihydro-1-benzofuran-6-yl)carbonyl)piperidine",2021-05-05 11:14:39,2021-06-02 09:17:30,C534147,134223836
241,,13beta-methyl 19-nor-steroid,2021-05-05 11:14:39,2021-06-02 09:17:32,C422565,53790896
242,,"1,3-bis(2-hydroxyiminomethylpyridinium)propane",2021-05-05 11:14:40,2021-06-02 09:17:34,C489957,336287029
243,135541421,"1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole",2021-05-05 11:14:40,2021-06-02 09:17:37,C524478,112378985
244,7845,"1,3-butadiene",2021-05-05 11:14:46,2021-06-02 09:17:40,C031763,53790085
245,1355,1-(3-chlorophenyl)piperazine,2021-05-05 11:14:48,2021-06-02 09:17:43,C015068,53788779
246,6438744,13-cis-12-(3'-carboxyphenyl)retinoic acid,2021-05-05 11:14:50,2021-06-02 09:17:46,C078415,163801856
247,6436079,13-cis-retinal,2021-05-05 11:14:51,2021-06-02 09:17:50,C031338,53790569
248,145721436,13-desmethylspirolide C,2021-05-05 11:14:51,2021-06-02 09:17:53,C517170,252819651
249,11483104,"1,3-di(1H-indol-3-yl)propan-2-one",2021-05-05 11:14:51,2021-06-02 09:17:56,C547592,136368323
250,13986101,"1,3-diacetoxytetradeca-6,12-dien-8,10-diyne",2021-05-05 11:14:52,2021-06-02 09:17:59,C579534,223258896
251,24726,"1,3-dichloro-1-propene",2021-05-05 11:14:52,2021-06-02 09:18:02,C023891,53787005
252,7289,"1,3-dichloro-2-propanol",2021-05-05 11:14:52,2021-06-02 09:18:05,C033489,196409589
253,10943,"1,3-dichlorobenzene",2021-05-05 11:14:54,2021-06-02 09:18:08,C042146,53790797
254,135398501,"1,3-dihydro-1-(1-((4-(6-phenyl-1H-imidazo(4,5-g)quinoxalin-7-yl)phenyl)methyl)-4-piperidinyl)-2H-benzimidazol-2-one",2021-05-05 11:14:54,2021-06-02 09:18:11,C532657,135653704
255,,"1',3'-dihydro-1'-ethanol-3',3'-dimethyl-8-methoxy-6-nitro-spiro(2H-1-benzopyran-2,2'-(2H)-indole)",2021-05-05 11:14:56,2021-06-02 09:18:13,C555017,136368374
256,11489138,"1,3-dihydroxy-2-hydroxymethylpropyl-2-ammonium 2-((R)-3-cyclo-hexyl-1-phenylpropyl)-1,3-dioxo-2,3-dihydro-1H-isoindole-5-carboxylate monohydrate",2021-05-05 11:14:56,2021-06-02 09:18:16,C503118,53787448
257,2733503,"1,3-dihydroxy-4,4,5,5-tetramethyl-2-(4-carboxyphenyl)tetrahydroimidazole",2021-05-05 11:14:57,2021-06-02 09:18:19,C079393,134222622
258,57393210,"1,3-dihydroxypropan-2-yl 11-(2-hexyl-5-hydroxyphenoxy)undecanoate",2021-05-05 11:14:59,2021-06-02 09:18:22,C570531,196409726
259,56835165,"1,3-dihydroxypropan-2-yl 11-(3-hydroxy-5-(2-methyloctan-2-yl)phenoxy)undecanoate",2021-05-05 11:14:59,2021-06-02 09:18:25,C570532,196409738
260,2723631,"1,3-dimethylthiourea",2021-05-05 11:14:59,2021-06-02 09:18:29,C038983,57309750
261,146158573,"1, 3-di-(N-carboxybenzoyl-leucyl-leucyl)amino acetone",2021-05-05 11:15:03,2021-06-02 09:18:32,C415363,76715521
262,53230,"1,3-dinitropyrene",2021-05-05 11:15:04,2021-06-02 09:18:35,C037413,126522378
263,14125,"1,3-diphenylpropane",2021-05-05 11:15:04,2021-06-02 09:18:39,C014513,350085923
264,1329,"1,3-dipropyl-8-cyclopentylxanthine",2021-05-05 11:15:05,2021-06-02 09:18:41,C051360,53787841
265,7333,"1,3-ditolylguanidine",2021-05-05 11:15:05,2021-06-02 09:18:44,C050232,104231736
266,6437847,"13-hydroperoxy-9,11-octadecadienoic acid",2021-05-05 11:15:05,2021-06-02 09:18:47,C038649,137275672
267,5283009,13-hydroxy-10-oxo-11-octadecenoic acid,2021-05-05 11:15:06,2021-06-02 09:18:52,C082486,144221146
268,5282948,"13-hydroxy-9,11-octadecadienoic acid",2021-05-05 11:15:06,2021-06-02 09:18:55,C024348,76715717
269,,13-hydroxyellipticine,2021-05-05 11:15:07,2021-06-02 09:18:59,C517215,144087521
270,5283012,"13-oxo-9,11-octadecadienoic acid",2021-05-05 11:15:08,2021-06-02 09:19:02,C064441,53788789
271,4296,1-(3-trifluoromethylphenyl)piperazine,2021-05-05 11:15:09,2021-06-02 09:19:05,C018406,134221805
272,21087750,"1-(4-(1,1-dimethylheptyl)-2,6-dimethoxyphenyl)-3-methylcyclohexanol",2021-05-05 11:15:09,2021-06-02 09:19:08,C531961,406845011
273,25218004,"14,15-eicosa-5-enoic acid",2021-05-05 11:15:10,2021-06-02 09:19:11,C494022,162064773
274,5283205,"14,15-epoxy-5,8,11-eicosatrienoic acid",2021-05-05 11:15:10,2021-06-02 09:19:14,C046782,53786890
275,25254071,"1-(4-((2-(2-aminopyrimidin-5-yl)-7-methyl-4-morpholinothieno(3,2-d)pyrimidin-6-yl)methyl)piperazin-1-yl)-2-hydroxypropan-1-one",2021-05-05 11:15:11,2021-06-02 09:19:17,C569670,160657174
276,49836027,"1-(4-(4-propionylpiperazin-1-yl)-3-(trifluoromethyl)phenyl)-9-(quinolin-3-yl)benzo(h)(1,6)naphthyridin-2(1H)-one",2021-05-05 11:15:14,2021-06-02 09:19:20,C553294,210024027
277,,"1,4,5,8-naphthalenetetracarboxylic diimide",2021-05-05 11:15:19,2021-06-02 09:19:23,C429685,144221063
278,3136849,"1-(4-(6-bromobenzo(1,3)dioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta(c)quinolin-8-yl)ethanone",2021-05-05 11:15:19,2021-06-02 09:19:26,C517943,112378999
279,188318,"1,4,7-triazacyclononane",2021-05-05 11:15:31,2021-06-02 09:19:29,C075712,440962808
280,,1-((4-(aminocarbonyl)pyridinio)trimethylene)-2-((hydroxyimino)methyl)pyridinium,2021-05-05 11:15:31,2021-06-02 09:19:31,C531547,135653334
281,69457,"1,4-anthraquinone",2021-05-05 11:15:32,2021-06-02 09:19:34,C416442,172125898
282,11245596,1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid,2021-05-05 11:15:32,2021-06-02 09:19:37,C521339,99222726
283,5382,"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",2021-05-05 11:15:32,2021-06-02 09:19:40,C028474,53788842
